X,O,pred,diff
RT,O,O,0
@USER1627,O,O,0
:,O,O,0
I,O,O,0
'm,O,O,0
tryna,O,O,0
get,O,O,0
in,O,O,0
a,O,O,0
healthy,O,O,0
relationship,O,O,0
",",O,O,0
shit,O,O,0
😂😂,O,O,0
URL231,O,O,0
Hello,O,O,0
@USER174,O,O,0
",",O,O,0
thank,O,O,0
you,O,O,0
for,O,O,0
partnering,O,O,0
with,O,O,0
us,O,O,0
.,O,O,0
We,O,O,0
are,O,O,0
always,O,O,0
delighted,O,O,0
to,O,O,0
serve,O,O,0
you,O,O,0
.,O,O,0
Do,O,O,0
have,O,O,0
a,O,O,0
great,O,O,0
day,O,O,0
.,O,O,0
Cant,O,O,0
wait,O,O,0
.,O,O,0
🙈💃,O,O,0
Temme,PER,O,1
your,O,O,0
gang,O,O,0
is,O,O,0
winning,O,O,0
right,O,O,0
?,O,O,0
😥,O,O,0
Haina,PER,O,1
?,O,O,0
😋,O,O,0
URL631,O,O,0
#CinObservatory,O,O,0
#OHWX,O,O,0
:,O,O,0
Temp,O,O,0
:,O,O,0
-0.28,O,O,0
°C,O,O,0
",",O,O,0
Hum,O,O,0
:,O,O,0
68,O,O,0
%,O,O,0
",",O,O,0
Bar,O,O,0
:,O,O,0
mb,O,O,0
",",O,O,0
UV,O,O,0
:,O,O,0
1/1600,O,O,0
",",O,O,0
As,O,O,0
of,O,O,0
:,O,O,0
April,O,O,0
10,O,O,0
",",O,O,0
2016,O,O,0
at,O,O,0
12:04,O,O,0
AM,O,O,0
@USER1605,O,O,0
Bracelet,O,O,0
in,O,O,0
right,O,O,0
hand,O,O,0
is,O,O,0
missing,O,O,0
Piercing,O,O,0
on,O,O,0
chin,O,O,0
is,O,O,0
missing,O,O,0
#SpotTheMissing,O,O,0
.,O,O,0
Fuck,O,O,0
today,O,O,0
.,O,O,0
Fuck,O,O,0
Imogen,PER,O,1
.,O,O,0
Fuck,O,O,0
all,O,O,0
of,O,O,0
it,O,O,0
!,O,O,0
RT,O,O,0
@USER522,O,O,0
:,O,O,0
“,O,O,0
It,O,O,0
’s,O,O,0
a,O,O,0
red,O,O,0
flag,O,O,0
”,O,O,0
—,O,O,0
Polar,O,ORG,1
bears,O,ORG,1
are,O,O,0
losing,O,O,0
weight,O,O,0
as,O,O,0
#Arctic,O,O,0
sea,O,O,0
ice,O,O,0
melts,O,O,0
.,O,O,0
URL526,O,O,0
#SaveTheArctic,O,O,0
URL221,O,O,0
…,O,O,0
@USER1003,O,O,0
ok,O,O,0
lol,O,O,0
also,O,O,0
I,O,O,0
have,O,O,0
never,O,O,0
been,O,O,0
awake,O,O,0
at,O,O,0
5,O,O,0
in,O,O,0
years,O,O,0
lol,O,O,0
earliest,O,O,0
I,O,O,0
get,O,O,0
up,O,O,0
at,O,O,0
is,O,O,0
8,O,O,0
in,O,O,0
the,O,O,0
morning,O,O,0
lol,O,O,0
[,O,O,0
OnlyPiolou,O,O,0
],O,O,0
is,O,O,0
available,O,O,0
since,O,O,0
2,O,O,0
minute,O,O,0
(,O,O,0
s,O,O,0
),O,O,0
!,O,O,0
(,O,O,0
2016-03-19,O,O,0
11:38:49,O,O,0
),O,O,0
(,O,O,0
UTC+01:00,O,O,0
),O,O,0
-,O,O,0
#minecraft,O,O,0
RT,O,O,0
@USER1337,O,O,0
:,O,O,0
Classic,O,O,0
😁,O,O,0
URL1443,O,O,0
RT,O,O,0
@USER648,O,O,0
:,O,O,0
@USER2067,O,O,0
@USER790,O,O,0
@USER661,O,O,0
@USER1148,O,O,0
@USER1751,O,O,0
means,O,O,0
ya,O,O,0
get,O,O,0
to,O,O,0
start,O,O,0
drinking,O,O,0
whenever,O,O,0
ya,O,O,0
want,O,O,0
Votes,O,O,0
from,O,O,0
thepeoplepick,O,O,0
what,O,O,0
person,O,O,0
isthe,O,O,0
next,O,O,0
sittingpresident,O,O,0
.,O,O,0
"""",O,O,0
WHO,O,O,0
PICKS,O,O,0
"""",O,O,0
THEPEOPLE,O,O,0
THAT,O,O,0
WILLBETHE,O,O,0
PERSONS,O,O,0
WE,O,O,0
VOTE,O,O,0
FOR2BE,O,O,0
NEXT,O,O,0
PRESIDENT,O,O,0
.,O,O,0
?,O,O,0
SOON,O,O,0
:,O,O,0
We,O,O,0
reveal,O,O,0
the,O,O,0
secret,O,O,0
signals,O,O,0
your,O,O,0
body,O,O,0
's,O,O,0
giving,O,O,0
off,O,O,0
without,O,O,0
you,O,O,0
even,O,O,0
knowing,O,O,0
...,O,O,0
#TMS7,O,O,0
Just,O,O,0
posted,O,O,0
a,O,O,0
photo,O,O,0
@,O,O,0
La,O,LOC,1
Provence,O,LOC,1
Lake,LOC,LOC,0
Oswego,LOC,LOC,0
URL237,O,O,0
Why,O,O,0
the,O,O,0
Stakes,O,O,0
Are,O,O,0
So,O,O,0
High,O,O,0
in,O,O,0
Today,O,O,0
’s,O,O,0
Rivers,LOC,ORG,1
Election,O,ORG,1
URL1634,O,O,0
RT,O,O,0
@USER838,O,O,0
:,O,O,0
I,O,O,0
want,O,O,0
to,O,O,0
be,O,O,0
with,O,O,0
you,O,O,0
.,O,O,0
Everyday,O,O,0
.,O,O,0
RT,O,O,0
@USER129,O,O,0
:,O,O,0
I,O,O,0
",",O,O,0
a,O,O,0
large,O,O,0
wrinkle,O,O,0
",",O,O,0
have,O,O,0
made,O,O,0
these,O,O,0
smaller,O,O,0
wrinkles,O,O,0
.,O,O,0
URL1067,O,O,0
You,O,O,0
prefer,O,O,0
to,O,O,0
keep,O,O,0
the,O,O,0
peace,O,O,0
but,O,O,0
you,O,O,0
might,O,O,0
feel,O,O,0
called,O,O,0
to,O,O,0
spea,O,O,0
...,O,O,0
More,O,O,0
for,O,O,0
Libra,MISC,O,1
URL1015,O,O,0
HAHAHAHAH,O,O,0
OMG,O,O,0
KHLOE,PER,PER,0
IF,O,O,0
YOU,O,O,0
WANT,O,O,0
TO,O,O,0
DRAG,O,O,0
SOMEONE,O,O,0
PLEASE,O,O,0
DONT,O,O,0
END,O,O,0
UP,O,O,0
BEING,O,O,0
EMBARRASSING,O,O,0
RT,O,O,0
@USER28,O,O,0
:,O,O,0
On,O,O,0
October,O,O,0
7,O,O,0
•,O,O,0
Fifth,ORG,ORG,0
Harmony,ORG,ORG,0
will,O,O,0
perform,O,O,0
at,O,O,0
the,O,O,0
Manchester,LOC,LOC,0
Arena,LOC,LOC,0
Capacity,O,LOC,1
:,O,O,0
"21,000",O,O,0
People,O,O,0
#727Tour,O,O,0
URL736,O,O,0
Till,O,O,0
I,O,O,0
loved,O,O,0
",",O,O,0
I,O,O,0
never,O,O,0
lived,O,O,0
--,O,O,0
enough,O,O,0
.,O,O,0
-,O,O,0
Emily,PER,PER,0
Dickinson,PER,PER,0
@USER879,O,O,0
last,O,O,0
time,O,O,0
I,O,O,0
checked,O,O,0
.,O,O,0
July,O,O,0
22nd,O,O,0
is,O,O,0
in,O,O,0
fact,O,O,0
in,O,O,0
summer,O,O,0
???,O,O,0
RT,O,O,0
@USER1552,O,O,0
:,O,O,0
This,O,O,0
Man,O,O,0
's,O,O,0
Blackheads,O,ORG,1
Were,O,O,0
Popped,O,O,0
Out,O,O,0
",",O,O,0
See,O,O,0
The,O,O,0
Shocking,O,O,0
Transformation,O,O,0
After,O,O,0
URL1248,O,O,0
URL492,O,O,0
…,O,O,0
ayerene,PER,PER,0
-,O,O,0
@USER1654,O,O,0
-,O,O,0
babe,O,O,0
-,O,O,0
zayn,PER,PER,0
-spongeboobs,O,O,0
-,O,O,0
pretty,O,O,0
af,O,O,0
-,O,O,0
ia,O,O,0
bc,O,O,0
school,O,O,0
ily,O,O,0
😽,O,O,0
RT,O,O,0
@USER1621,O,O,0
:,O,O,0
As,O,O,0
Assad,PER,PER,0
destroys,O,O,0
much,O,O,0
of,O,O,0
health,O,O,0
system,O,O,0
",",O,O,0
Syrians,MISC,ORG,1
die,O,O,0
as,O,O,0
often,O,O,0
of,O,O,0
chronic,O,O,0
disease,O,O,0
as,O,O,0
bullets,O,O,0
.,O,O,0
URL1082,O,O,0
htt,O,O,0
…,O,O,0
@USER198,O,O,0
thanks,O,O,0
for,O,O,0
getting,O,O,0
back,O,O,0
to,O,O,0
me,O,O,0
so,O,O,0
quickly,O,O,0
.,O,O,0
Morning,O,O,0
lovelies,O,O,0
✨,O,O,0
hope,O,O,0
you,O,O,0
have,O,O,0
a,O,O,0
wonderful,O,O,0
day,O,O,0
💐,O,O,0
xxx,O,O,0
URL1462,O,O,0
RT,O,O,0
@USER1996,O,O,0
:,O,O,0
Team,O,O,0
B,O,O,0
-,O,O,0
Climax,MISC,O,1
140413,O,O,0
",",O,O,0
YG,MISC,O,1
Family,MISC,O,1
Power,MISC,O,1
2014,MISC,O,1
Tour,MISC,O,1
in,O,O,0
Japan,LOC,LOC,0
Junhoe,PER,LOC,1
singing,O,O,0
with,O,O,0
a,O,O,0
pistachio,O,O,0
stuck,O,O,0
in,O,O,0
his,O,O,0
throat,O,O,0
!,O,O,0
😱😉,O,O,0
URL218,O,O,0
…,O,O,0
RT,O,O,0
@USER2560,O,O,0
:,O,O,0
#EURO2016,O,O,0
Group,O,O,0
F,O,O,0
FT,O,O,0
#POR,O,O,0
0-0,O,O,0
#AUT,O,O,0
URL792,O,O,0
RT,O,O,0
@USER1752,O,O,0
:,O,O,0
hair,O,O,0
color,O,O,0
by,O,O,0
your,O,O,0
's,O,O,0
truly,O,O,0
URL364,O,O,0
@USER111,O,O,0
#Prophecy,O,O,0
of,O,O,0
#StrictlyBidness,O,O,0
on,O,O,0
#ReverbNation,O,O,0
#HitPlay,O,O,0
URL1132,O,O,0
Turkey,LOC,LOC,0
's,O,O,0
Erdogan,PER,PER,0
pours,O,O,0
cold,O,O,0
water,O,O,0
on,O,O,0
hopes,O,O,0
of,O,O,0
progress,O,O,0
on,O,O,0
EU,ORG,ORG,0
deal,O,O,0
URL571,O,O,0
via,O,O,0
@USER1123,O,O,0
RT,O,O,0
@USER2000,O,O,0
:,O,O,0
Mother,O,O,0
-,O,O,0
daughter,O,O,0
relationship,O,O,0
like,O,O,0
Atita,PER,PER,0
Haris,PER,PER,0
&,O,O,0
her,O,O,0
daughter,O,O,0
please,O,O,0
!,O,O,0
😍😍😍,O,O,0
URL1053,O,O,0
RT,O,O,0
@USER2320,O,O,0
:,O,O,0
*,O,O,0
opens,O,O,0
Snapchat,ORG,ORG,0
*,O,O,0
"""",O,O,0
so,O,O,0
today,O,O,0
I,O,O,0
was,O,O,0
....,O,O,0
"""",O,O,0
"""",O,O,0
I,O,O,0
just,O,O,0
hate,O,O,0
when,O,O,0
..,O,O,0
"""",O,O,0
"""",O,O,0
lem,O,O,0
me,O,O,0
tell,O,O,0
y'all,O,O,0
what,O,O,0
just,O,O,0
happe,O,O,0
....,O,O,0
"""",O,O,0
"""",O,O,0
my,O,O,0
boyfriend,O,O,0
..,O,O,0
"""",O,O,0
URL218,O,O,0
…,O,O,0
#PromoProduct,O,O,0
Need,O,O,0
Something,O,O,0
For,O,O,0
the,O,O,0
Office,O,O,0
?,O,O,0
Choose,O,O,0
Branded,O,ORG,1
Merchandise,O,O,0
As,O,O,0
Corporate,O,O,0
Gifts,O,O,0
URL1126,O,O,0
LIMITED,O,O,0
EDITION,O,O,0
half,O,O,0
nudes,O,O,0
@USER858,O,O,0
block,O,O,0
2C,O,O,0
LloydsPharmacy,ORG,O,1
:,O,O,0
Pharmacist,O,O,0
-,O,O,0
Attleborough,LOC,ORG,1
#Pharmacy,O,O,0
URL1162,O,O,0
Whatever,O,O,0
song,O,O,0
@USER1393,O,O,0
just,O,O,0
made,O,O,0
me,O,O,0
listen,O,O,0
to,O,O,0
by,O,O,0
ariana,PER,PER,0
grande,PER,PER,0
completely,O,O,0
snatched,O,O,0
me,O,O,0
I,O,O,0
'm,O,O,0
changed,O,O,0
RT,O,O,0
@USER22,O,O,0
:,O,O,0
RT,O,O,0
&,O,O,0
REPLY,O,O,0
!,O,O,0
#iHeartAwards,O,O,0
#BestFanArmy,O,O,0
#5SOSFam,O,O,0
URL261,O,O,0
Sooooo,O,O,0
good,O,O,0
to,O,O,0
find,O,O,0
the,O,O,0
London,LOC,LOC,0
#culinary,O,O,0
scene,O,O,0
is,O,O,0
still,O,O,0
as,O,O,0
#awesome,O,O,0
as,O,O,0
ever,O,O,0
thank,O,O,0
you,O,O,0
@USER818,O,O,0
#raresteak,O,O,0
URL952,O,O,0
Helping,O,O,0
You,O,O,0
Get,O,O,0
A,O,O,0
Better,O,O,0
Understanding,O,O,0
About,O,O,0
Employment,O,O,0
With,O,O,0
Simple,O,O,0
Tips,O,O,0
URL1051,O,O,0
#porn,O,O,0
#porn,O,O,0
Swipe,O,O,0
Hookup,O,O,0
-,O,O,0
meet,O,O,0
sexy,O,O,0
ladies,O,O,0
for,O,O,0
SEX,O,O,0
DATING,O,O,0
-,O,O,0
visit,O,O,0
:,O,O,0
URL553,O,O,0
URL697,O,O,0
Want,O,O,0
to,O,O,0
bang,O,O,0
me,O,O,0
?,O,O,0
URL1254,O,O,0
#ass,O,O,0
#butt,O,O,0
#orgies,O,O,0
#sexygifs,O,O,0
URL245,O,O,0
best,O,O,0
thing,O,O,0
ever,O,O,0
is,O,O,0
definitely,O,O,0
when,O,O,0
people,O,O,0
read,O,O,0
your,O,O,0
message,O,O,0
and,O,O,0
do,O,O,0
n't,O,O,0
reply,O,O,0
👌💃,O,O,0
(,O,O,0
with,O,O,0
family,O,O,0
at,O,O,0
Mie,LOC,LOC,0
Alfin,LOC,LOC,0
Pengayoman,LOC,LOC,0
),O,O,0
—,O,O,0
URL1300,O,O,0
RT,O,O,0
@USER990,O,O,0
:,O,O,0
@USER1815,O,O,0
and,O,O,0
yet,O,O,0
u,O,O,0
chose,O,O,0
to,O,O,0
make,O,O,0
the,O,O,0
unarmed,O,O,0
victim,O,O,0
look,O,O,0
like,O,O,0
a,O,O,0
criminal,O,O,0
in,O,O,0
this,O,O,0
case,O,O,0
..,O,O,0
🤔,O,O,0
I,O,O,0
stay,O,O,0
getting,O,O,0
mad,O,O,0
at,O,O,0
old,O,O,0
shit,O,O,0
I,O,O,0
need,O,O,0
to,O,O,0
stop,O,O,0
😭,O,O,0
RT,O,O,0
@USER2007,O,O,0
:,O,O,0
Your,O,O,0
heart,O,O,0
beats,O,O,0
about,O,O,0
"100,00",O,O,0
times,O,O,0
in,O,O,0
one,O,O,0
day,O,O,0
and,O,O,0
36.5,O,O,0
million,O,O,0
times,O,O,0
in,O,O,0
a,O,O,0
year,O,O,0
.,O,O,0
RT,O,O,0
@USER311,O,O,0
:,O,O,0
Lovable,O,O,0
AND,O,O,0
Quick,O,O,0
Do,O,O,0
it,O,O,0
yourself,O,O,0
VALENTINE,MISC,O,1
'S,MISC,O,1
Working,O,O,0
day,O,O,0
Presents,O,O,0
|,O,O,0
THE,ORG,O,1
SORRY,ORG,O,1
Girls,ORG,O,1
-,O,O,0
URL1459,O,O,0
well,O,O,0
it,O,O,0
s,O,O,0
a,O,O,0
dream,O,O,0
job,O,O,0
for,O,O,0
many,O,O,0
",",O,O,0
some,O,O,0
in,O,O,0
the,O,O,0
testing,O,O,0
section,O,O,0
haha,O,O,0
URL694,O,O,0
I,O,O,0
hate,O,O,0
not,O,O,0
getting,O,O,0
my,O,O,0
way,O,O,0
and,O,O,0
I,O,O,0
hate,O,O,0
being,O,O,0
told,O,O,0
no,O,O,0
but,O,O,0
I,O,O,0
m,O,O,0
never,O,O,0
told,O,O,0
no,O,O,0
and,O,O,0
I,O,O,0
always,O,O,0
get,O,O,0
my,O,O,0
way,O,O,0
so,O,O,0
I,O,O,0
have,O,O,0
no,O,O,0
complaints,O,O,0
😂,O,O,0
RT,O,O,0
@USER1515,O,O,0
:,O,O,0
I,O,O,0
needa,O,O,0
stop,O,O,0
sleeping,O,O,0
thru,O,O,0
like,O,O,0
half,O,O,0
the,O,O,0
day,O,O,0
BC,O,O,0
I,O,O,0
always,O,O,0
end,O,O,0
up,O,O,0
being,O,O,0
up,O,O,0
all,O,O,0
night,O,O,0
🙃,O,O,0
RT,O,O,0
@USER2023,O,O,0
:,O,O,0
try,O,O,0
this,O,O,0
class,O,O,0
out,O,O,0
let,O,O,0
me,O,O,0
know,O,O,0
what,O,O,0
you,O,O,0
think,O,O,0
URL1547,O,O,0
RT,O,O,0
@USER1520,O,O,0
:,O,O,0
Mitch,PER,PER,0
to,O,O,0
Raul,PER,PER,0
-,O,O,0
I,O,O,0
think,O,O,0
Nikki,PER,PER,0
ca,O,O,0
nt,O,O,0
win,O,O,0
but,O,O,0
Tim,PER,PER,0
can,O,O,0
.,O,O,0
I,O,O,0
think,O,O,0
he,O,O,0
says,O,O,0
he,O,O,0
does,O,O,0
nt,O,O,0
want,O,O,0
to,O,O,0
win,O,O,0
but,O,O,0
he,O,O,0
does,O,O,0
#BBCAN4,O,O,0
RT,O,O,0
@USER327,O,O,0
:,O,O,0
Type,O,O,0
of,O,O,0
girl,O,O,0
I,O,O,0
want,O,O,0
🙌🏼,O,O,0
URL365,O,O,0
Pain,O,O,0
is,O,O,0
just,O,O,0
a,O,O,0
consequence,O,O,0
of,O,O,0
love,O,O,0
@USER2500,O,O,0
w,O,O,0
me,O,O,0
in,O,O,0
background,O,O,0
@USER1040,O,O,0
cool,O,O,0
dude,O,O,0
you,O,O,0
are,O,O,0
😎,O,O,0
RT,O,O,0
@USER1864,O,O,0
:,O,O,0
Beautiful,O,O,0
California,LOC,O,1
Flower,O,O,0
Fields,O,O,0
You,O,O,0
Must,O,O,0
Visit,O,O,0
This,O,O,0
Spring,O,O,0
►,O,O,0
URL337,O,O,0
@USER1336,O,O,0
#SanDiego,O,O,0
URL218,O,O,0
…,O,O,0
How,O,O,0
to,O,O,0
fill,O,O,0
baseball,O,ORG,1
's,O,O,0
biggest,O,O,0
roster,O,O,0
holes,O,O,0
:,O,O,0
Dozens,O,O,0
of,O,O,0
free,O,O,0
agents,O,O,0
remain,O,O,0
unsigned,O,O,0
",",O,O,0
including,O,O,0
many,O,O,0
household,O,O,0
n,O,O,0
...,O,O,0
URL1602,O,O,0
RT,O,O,0
@USER1811,O,O,0
:,O,O,0
iTunes,MISC,ORG,1
US,MISC,O,1
:,O,O,0
64,O,O,0
(,O,O,0
+,O,O,0
2,O,O,0
),O,O,0
Demi,PER,PER,0
Lovato,PER,PER,0
-,O,O,0
Body,MISC,O,1
Say,MISC,O,1
!,O,O,0
Buy,O,O,0
or,O,O,0
gift,O,O,0
here,O,O,0
:,O,O,0
URL1593,O,O,0
Donald,PER,PER,0
Trump,PER,PER,0
Reads,O,O,0
The,MISC,O,1
Snake,MISC,O,1
Lyric,O,O,0
At,O,O,0
Campaign,O,O,0
Rally,O,O,0
Referring,O,O,0
To,O,O,0
Immigr,O,O,0
...,O,O,0
URL295,O,O,0
via,O,O,0
@USER1490,O,O,0
RT,O,O,0
@USER1980,O,O,0
:,O,O,0
Curse,O,O,0
on,O,O,0
Such,O,O,0
TABDEELi,O,O,0
And,O,O,0
New,O,O,0
Pakistan,LOC,LOC,0
in,O,O,0
which,O,O,0
Women,O,O,0
being,O,O,0
Molested,O,MISC,1
",",O,O,0
Harassed,O,O,0
by,O,O,0
their,O,O,0
own,O,O,0
Hooligans,O,ORG,1
!!!,O,O,0
#PTIwomenMolesters,O,O,0
RT,O,O,0
@USER2312,O,O,0
:,O,O,0
Maybe,O,O,0
If,O,O,0
I,O,O,0
Was,O,O,0
Harry,PER,PER,0
Styles,PER,PER,0
I,O,O,0
Could,O,O,0
Swim,O,O,0
Across,O,O,0
The,O,LOC,1
Atlantic,LOC,LOC,0
.,O,O,0
LIVE,O,O,0
on,O,O,0
#Periscope,O,O,0
:,O,O,0
YoungBankRoll,O,O,0
URL1563,O,O,0
RT,O,O,0
@USER1764,O,O,0
:,O,O,0
they,O,O,0
just,O,O,0
Used,O,O,0
winwin,O,O,0
RT,O,O,0
@USER2213,O,O,0
:,O,O,0
WMUR,ORG,PER,1
reporting,O,O,0
that,O,O,0
Cruz,PER,PER,0
will,O,O,0
announce,O,O,0
intention,O,O,0
to,O,O,0
name,O,O,0
Fiorina,PER,PER,0
running,O,O,0
mate,O,O,0
.,O,O,0
RT,O,O,0
@USER1347,O,O,0
:,O,O,0
10,O,O,0
Thousand,O,MISC,1
Times,O,MISC,1
Faster,O,O,0
Swift,O,PER,1
URL1075,O,O,0
Peter,PER,PER,0
Capaldi,PER,PER,0
Confirms,O,O,0
New,O,O,0
Doctor,MISC,O,1
Who,MISC,O,1
Companion,O,O,0
Has,O,O,0
Been,O,O,0
Cast,O,O,0
:,O,O,0
Current,O,O,0
Doctor,MISC,O,1
Who,MISC,O,1
Peter,PER,PER,0
Capaldi,PER,PER,0
…,O,O,0
URL857,O,O,0
#drwho,O,O,0
#doctorwho,O,O,0
You,O,O,0
can,O,O,0
get,O,O,0
carried,O,O,0
away,O,O,0
with,O,O,0
your,O,O,0
desire,O,O,0
to,O,O,0
retreat,O,O,0
from,O,O,0
the,O,O,0
...,O,O,0
More,O,O,0
for,O,O,0
Aries,MISC,O,1
URL531,O,O,0
@USER1431,O,O,0
btw,O,O,0
",",O,O,0
are,O,O,0
you,O,O,0
Hispanic,MISC,O,1
?,O,O,0
I,O,O,0
've,O,O,0
been,O,O,0
meaning,O,O,0
to,O,O,0
ask,O,O,0
!,O,O,0
RT,O,O,0
@USER2631,O,O,0
:,O,O,0
Wrong,O,O,0
number,O,O,0
texted,O,O,0
me,O,O,0
today,O,O,0
URL374,O,O,0
RT,O,O,0
@USER382,O,O,0
:,O,O,0
Ted,PER,PER,0
Cruz,PER,PER,0
promised,O,O,0
people,O,O,0
of,O,O,0
Texas,LOC,LOC,0
he,O,O,0
'd,O,O,0
lead,O,O,0
fight,O,O,0
against,O,O,0
Obamacare,MISC,O,1
",",O,O,0
exploding,O,O,0
debt,O,O,0
",",O,O,0
cronyism,O,O,0
&,O,O,0
amnesty,O,O,0
.,O,O,0
Ted,PER,PER,0
Cruz,PER,PER,0
promised,O,O,0
",",O,O,0
t,O,O,0
…,O,O,0
New,O,O,0
goal,O,O,0
:,O,O,0
become,O,O,0
an,O,O,0
Olympic,MISC,O,1
pup,O,O,0
!,O,O,0
URL1019,O,O,0
RT,O,O,0
@USER740,O,O,0
:,O,O,0
Donovan,PER,PER,0
Mitchell,PER,PER,0
's,O,O,0
athletic,O,O,0
ability,O,O,0
is,O,O,0
unreal,O,O,0
.,O,O,0
RT,O,O,0
@USER2297,O,O,0
:,O,O,0
The,O,O,0
only,O,O,0
straight,O,O,0
I,O,O,0
am,O,O,0
is,O,O,0
a,O,O,0
straight,O,O,0
up,O,O,0
bitch,O,O,0
I,O,O,0
miss,O,O,0
him,O,O,0
😔💙,O,O,0
RT,O,O,0
@USER504,O,O,0
:,O,O,0
Tfry,O,O,0
wild,O,O,0
af,O,O,0
😂,O,O,0
RT,O,O,0
@USER1418,O,O,0
:,O,O,0
Yeah,O,O,0
getting,O,O,0
buckets,O,O,0
is,O,O,0
important,O,O,0
but,O,O,0
so,O,O,0
is,O,O,0
stopping,O,O,0
someone,O,O,0
from,O,O,0
getting,O,O,0
them,O,O,0
is,O,O,0
too,O,O,0
.,O,O,0
URL722,O,O,0
RT,O,O,0
@USER800,O,O,0
:,O,O,0
Gone,O,O,0
Viral,O,O,0
!,O,O,0
This,O,O,0
Mum,O,O,0
&,O,O,0
1,O,O,0
Day,O,O,0
Old,O,O,0
Baby,O,O,0
Sea,O,O,0
Otter,O,O,0
Cuddling,O,O,0
Are,O,O,0
A,O,O,0
Cuteness,O,O,0
Overload,O,O,0
!,O,O,0
-,O,O,0
CLICK,O,O,0
-->,O,O,0
>>>,O,O,0
URL447,O,O,0
URL218,O,O,0
…,O,O,0
@USER54,O,O,0
thanks,O,O,0
for,O,O,0
sharing,O,O,0
---==AdamCSmith==---,PER,O,1
",",O,O,0
have,O,O,0
a,O,O,0
great,O,O,0
Friday,O,O,0
:),O,O,0
(,O,O,0
Want,O,O,0
this,O,O,0
FREE,O,O,0
?,O,O,0
>>,O,O,0
URL391,O,O,0
),O,O,0
RT,O,O,0
@USER631,O,O,0
:,O,O,0
Most,O,O,0
slept,O,O,0
on,O,O,0
artists,O,O,0
of,O,O,0
today,O,O,0
23,O,O,0
.,O,O,0
),O,O,0
Joey,PER,PER,0
Purp,PER,PER,0
URL1159,O,O,0
RT,O,O,0
@USER95,O,O,0
:,O,O,0
Dear,O,O,0
Leaders,O,O,0
of,O,O,0
the,O,O,0
Opposition,O,O,0
!,O,O,0
Do,O,O,0
nt,O,O,0
let,O,O,0
Your,O,O,0
dislike,O,O,0
for,O,O,0
PM,O,O,0
@USER2286,O,O,0
translate,O,O,0
into,O,O,0
your,O,O,0
support,O,O,0
for,O,O,0
people,O,O,0
who,O,O,0
want,O,O,0
…,O,O,0
How,O,O,0
TO,O,O,0
Get,O,O,0
Over,O,O,0
Your,O,O,0
Ex,O,O,0
Fast,O,O,0
-,O,O,0
URL1395,O,O,0
URL1513,O,O,0
Dierks,PER,PER,0
Bentley,PER,PER,0
Is,O,O,0
Having,O,O,0
Naked,O,O,0
Nightmares,O,O,0
About,O,O,0
Hosting,O,O,0
the,O,O,0
ACM,MISC,O,1
Awards,MISC,O,1
-,O,O,0
and,O,O,0
Everyone,O,O,0
Benefits,O,O,0
!,O,O,0
URL618,O,O,0
Mad,MISC,O,1
men,MISC,O,1
is,O,O,0
got,O,O,0
to,O,O,0
be,O,O,0
the,O,O,0
best,O,O,0
show,O,O,0
of,O,O,0
all,O,O,0
time,O,O,0
.,O,O,0
Up,O,O,0
there,O,O,0
with,O,O,0
the,O,O,0
greats,O,O,0
(,O,O,0
i.e.,O,O,0
Sopranos,MISC,O,1
),O,O,0
if,O,O,0
not,O,O,0
the,O,O,0
ultimate,O,O,0
best,O,O,0
.,O,O,0
Hot,O,O,0
Video,O,O,0
!,O,O,0
',O,O,0
In,O,O,0
bed,O,O,0
with,O,O,0
Kanye,PER,PER,0
',O,O,0
:,O,O,0
Sophie,PER,PER,0
Monk,PER,PER,0
parodies,O,O,0
rapper,O,O,0
's,O,O,0
...,O,O,0
URL428,O,O,0
Planning,O,O,0
a,O,O,0
heist,O,O,0
at,O,O,0
Game,O,O,0
to,O,O,0
get,O,O,0
a,O,O,0
copy,O,O,0
of,O,O,0
No,MISC,MISC,0
Man,MISC,MISC,0
's,MISC,MISC,0
Sky,MISC,MISC,0
instead,O,O,0
of,O,O,0
waiting,O,O,0
a,O,O,0
week,O,O,0
.,O,O,0
I,O,O,0
know,O,O,0
they,O,O,0
have,O,O,0
it,O,O,0
.,O,O,0
Hello,O,O,0
from,O,O,0
the,O,O,0
other,O,O,0
side,O,O,0
I,O,O,0
must,O,O,0
've,O,O,0
called,O,O,0
a,O,O,0
thousand,O,O,0
times,O,O,0
@USER2316,O,O,0
RT,O,O,0
@USER988,O,O,0
:,O,O,0
VIDEO,O,O,0
:,O,O,0
The,O,O,0
@USER584,O,O,0
staged,O,O,0
a,O,O,0
live,O,O,0
sit,O,O,0
-,O,O,0
in,O,O,0
to,O,O,0
address,O,O,0
gun,O,O,0
control,O,O,0
measures,O,O,0
and,O,O,0
gun,O,O,0
violence,O,O,0
URL869,O,O,0
#NoB,O,O,0
…,O,O,0
am,O,O,0
i,O,O,0
the,O,O,0
only,O,O,0
one,O,O,0
that,O,O,0
does,O,O,0
n’t,O,O,0
do,O,O,0
anything,O,O,0
the,O,O,0
whole,O,O,0
day,O,O,0
but,O,O,0
gets,O,O,0
depressed,O,O,0
when,O,O,0
the,O,O,0
day,O,O,0
ends,O,O,0
and,O,O,0
sees,O,O,0
they,O,O,0
did,O,O,0
n’t,O,O,0
do,O,O,0
anything,O,O,0
A,O,O,0
